,GOE,MnO2,MMT
2¦È/degree,Intensity,Intensity,Intensity
5,3945,3033,6101
5.0197,3860,3087,5850
5.0395,3834,3100,5792
5.0592,3858,2987,5786
5.079,3887,2969,5876
5.0987,3744,2858,5753
5.1184,3991,2853,5794
5.1382,3877,2933,5951
5.1579,3847,2991,5853
5.1777,3829,2976,5871
5.1974,3770,2965,5802
5.2171,3747,2959,5698
5.2369,3766,2923,5851
5.2566,3751,2847,5811
5.2764,3737,2828,5699
5.2961,3715,2952,5725
5.3158,3715,2849,5752
5.3356,3750,2873,5914
5.3553,3737,2947,5783
5.3751,3725,2900,5619
5.3948,3781,2862,5780
5.4145,3756,2786,5800
5.4343,3645,2824,5781
5.454,3690,2823,5747
5.4738,3622,2735,5722
5.4935,3655,2875,5882
5.5133,3618,2932,5632
5.533,3546,2732,5733
5.5527,3579,2787,5648
5.5725,3642,2686,5743
5.5922,3551,2756,5818
5.612,3489,2709,5750
5.6317,3655,2721,5607
5.6514,3517,2750,5714
5.6712,3614,2777,5750
5.6909,3545,2674,5509
5.7107,3498,2746,5601
5.7304,3531,2794,5616
5.7501,3543,2792,5612
5.7699,3583,2734,5496
5.7896,3476,2724,5645
5.8094,3538,2668,5590
5.8291,3369,2663,5528
5.8488,3411,2647,5604
5.8686,3459,2715,5523
5.8883,3570,2722,5624
5.9081,3462,2715,5546
5.9278,3434,2707,5466
5.9475,3500,2744,5502
5.9673,3497,2657,5477
5.987,3476,2658,5393
6.0068,3454,2680,5461
6.0265,3456,2652,5264
6.0462,3484,2670,5549
6.066,3473,2629,5210
6.0857,3381,2684,5410
6.1055,3501,2516,5369
6.1252,3422,2603,5312
6.1449,3394,2637,5155
6.1647,3376,2613,5287
6.1844,3395,2630,5226
6.2042,3391,2553,5057
6.2239,3424,2590,5113
6.2436,3417,2624,5179
6.2634,3495,2633,5070
6.2831,3376,2647,5101
6.3029,3513,2620,5157
6.3226,3242,2638,5145
6.3423,3294,2549,5098
6.3621,3430,2596,5107
6.3818,3353,2607,5016
6.4016,3353,2583,5119
6.4213,3343,2522,4975
6.441,3389,2662,4930
6.4608,3377,2566,4955
6.4805,3367,2631,4827
6.5003,3447,2540,4956
6.52,3514,2540,4817
6.5398,3352,2467,4997
6.5595,3364,2591,4626
6.5792,3358,2603,4599
6.599,3330,2474,4677
6.6187,3272,2586,4652
6.6385,3351,2563,4600
6.6582,3373,2565,4551
6.6779,3185,2457,4743
6.6977,3223,2518,4569
6.7174,3371,2459,4481
6.7372,3314,2597,4621
6.7569,3320,2485,4457
6.7766,3393,2507,4435
6.7964,3369,2549,4520
6.8161,3281,2615,4358
6.8359,3391,2505,4440
6.8556,3312,2567,4323
6.8753,3320,2510,4402
6.8951,3321,2559,4243
6.9148,3248,2481,4319
6.9346,3397,2514,4110
6.9543,3296,2439,4169
6.974,3359,2510,4240
6.9938,3223,2445,4185
7.0135,3343,2450,4086
7.0333,3247,2431,4074
7.053,3266,2392,4072
7.0727,3211,2424,4075
7.0925,3290,2443,4021
7.1122,3340,2365,3939
7.132,3192,2326,3940
7.1517,3273,2410,4148
7.1714,3212,2454,3986
7.1912,3222,2410,3904
7.2109,3145,2447,4016
7.2307,3248,2436,3891
7.2504,3255,2433,3915
7.2701,3220,2372,3743
7.2899,3215,2462,3702
7.3096,3248,2452,3837
7.3294,3340,2454,3886
7.3491,3205,2434,3813
7.3688,3312,2374,3863
7.3886,3241,2447,3638
7.4083,3231,2417,3658
7.4281,3246,2448,3594
7.4478,3298,2376,3710
7.4676,3214,2346,3609
7.4873,3206,2367,3542
7.507,3082,2350,3596
7.5268,3213,2489,3538
7.5465,3264,2409,3653
7.5663,3199,2446,3532
7.586,3210,2342,3587
7.6057,3238,2444,3526
7.6255,3116,2374,3451
7.6452,3203,2396,3521
7.665,3279,2382,3525
