pH,10mM NaCl,50mM NaCl,100mM NaCl
3.32,3.03376161,,
3.36,2.83558485,,
3.39,,2.99896292,
3.41,2.63739472,,
3.44,,2.80120028,
3.45,,,2.96818355
3.45,2.43920126,,
3.48,,2.60342608,
3.49,,,2.77131228
3.51,2.24101035,,
3.54,,2.40565431,
3.54,,,2.57439817
3.56,2.0428063,,
3.6,,2.20788944,
3.6,,,2.37751924
3.63,1.84461725,,
3.66,,,2.18058165
3.67,,2.01012718,
3.71,1.64641516,,
3.73,,,1.98363128
3.74,,1.8123257,
3.79,1.44822087,,
3.81,,,1.78664445
3.83,1.39373179,,
3.83,,1.61450867,
3.86,1.33922678,,
3.89,1.28472129,,
3.9,,,1.58956255
3.92,1.23022291,,
3.94,,1.41668511,
3.96,1.17571798,,
3.97,,1.36228489,
4,1.1212139,,
4,,1.30787114,
4.01,,,1.39246013
4.04,,1.25345268,
4.04,1.06670939,,
4.05,,,1.33825602
4.08,,1.19903574,
4.09,1.01220048,,
4.09,,,1.28403869
4.12,,1.14460469,
4.13,,,1.2297915
4.14,0.95769462,,
4.16,,1.09017854,
4.17,,,1.17554431
4.19,0.90317803,,
4.21,,1.03574267,
4.21,,,1.12129203
4.24,0.84866036,,
4.26,,,1.06701911
4.26,,0.98129696,
4.31,,,1.01272525
4.31,0.79414545,,
4.31,,0.92684987,
4.36,,,0.95841934
4.37,,0.87239106,
4.38,0.73962409,,
4.41,,,0.90410639
4.43,,0.8179308,
4.45,0.68509378,,
4.47,,,0.84977445
4.5,,0.76346286,
4.53,0.63056534,,
4.54,,,0.79542224
4.57,,0.70898578,
4.61,,,0.74105915
4.62,0.57602903,,
4.65,,0.65450258,
4.69,,,0.68668039
4.72,0.52148834,,
4.74,,0.60000908,
4.76,0.49669607,,
4.77,,,0.63228257
4.82,0.47190398,,
4.83,,0.54550585,
4.86,,,0.57786652
4.88,0.44710963,,
4.88,,0.52073153,
4.91,,,0.55312975
4.93,0.4223133,,
4.94,,0.49595521,
4.96,,,0.52838978
5,,0.47117573,
5,0.39751631,,
5.01,,,0.50364196
5.05,,0.44639246,
5.06,0.37271782,,
5.07,,,0.47888891
5.11,,0.42160723,
5.12,,,0.45413081
5.13,0.34791848,,
5.18,,0.39681992,
5.18,,,0.42936922
5.2,0.32311794,,
5.24,,,0.40460268
5.24,,0.37202996,
5.28,0.29831623,,
5.3,,,0.37983253
5.31,,0.34723843,
5.36,0.27351341,,
5.37,,,0.35505864
5.39,,0.32244515,
5.44,0.24870941,,
5.44,,,0.33028103
5.46,,0.29764941,
5.51,,,0.30549913
5.53,0.22390482,,
5.55,,0.27285201,
5.59,,,0.28071391
5.63,0.19909971,,
5.63,,0.24805253,
5.67,,,0.25592555
5.72,,0.22325125,
5.73,0.17429363,,
5.75,,,0.23113387
5.8,,0.19844844,
5.83,,,0.20633899
5.84,0.14948645,,
5.89,,0.17364419,
5.91,,,0.18154145
5.94,0.1246786,,
5.98,,0.14883878,
5.99,,,0.15674192
6.05,0.09987014,,
6.07,,0.12403242,
6.08,,,0.1319405
6.15,,0.09922528,
6.16,,,0.10713752
6.16,0.07506128,,
6.24,,,0.08233314
6.24,,0.07441757,
6.27,0.05025198,,
6.32,,,0.05752795
6.34,,0.04960941,
6.38,0.02544237,,
6.41,,,0.03272195
6.43,,0.02480084,
6.48,0.00063251,,
6.5,,,0.00791543
6.53,,-0.000008064,
6.58,-0.0241775,,
6.59,,,-0.0168918
6.62,,-0.0248173,
6.68,-0.0489877,,
6.68,,,-0.0416995
6.71,,-0.0496267,
6.77,-0.073798,,
6.77,,,-0.0665075
6.8,,-0.0744364,
6.85,-0.0986084,,
6.86,,,-0.0913159
6.89,,-0.0992462,
6.93,-0.1234187,,
6.94,,,-0.1161245
6.97,,-0.124056,
7,-0.1482292,,
7.02,,,-0.1409332
7.05,,-0.1488659,
7.07,-0.1730396,,
7.1,,,-0.1657419
7.13,,-0.1736757,
7.14,-0.19785,,
7.18,,,-0.1905506
7.2,,-0.1984856,
7.21,-0.2226604,,
7.25,,,-0.2153592
7.27,-0.2474708,,
7.27,,-0.2232954,
7.32,,,-0.2401677
7.33,-0.2722812,,
7.34,,-0.2481052,
7.39,-0.2970916,,
7.39,,,-0.264976
7.41,,-0.2729149,
7.45,-0.321902,,
7.46,,,-0.2897841
7.47,,-0.2977245,
7.5,-0.3467123,,
7.52,,,-0.314592
7.53,,-0.322534,
7.55,-0.3715226,,
7.59,,,-0.3393996
7.59,,-0.3473434,
7.6,-0.3963329,,
7.65,,,-0.3642069
7.65,,-0.3721527,
7.65,-0.4211431,,
7.7,-0.4459533,,
7.71,,,-0.3890137
7.71,,-0.3969619,
7.75,-0.4707634,,
7.76,,,-0.4138201
7.76,,-0.4217708,
7.82,,-0.4465796,
7.82,,,-0.4386261
7.87,,-0.4713881,
7.87,,,-0.4634318
7.93,,,-0.4882369
7.93,-0.5526359,,
8.06,,-0.5532531,
8.09,-0.6345074,,
8.13,,,-0.5700838
8.23,,-0.6351146,
8.24,-0.7163775,,
8.3,,,-0.6519216
8.39,-0.7982456,,
8.39,,-0.7169708,
8.46,,,-0.7337452
8.53,-0.8801109,,
8.55,,-0.7988191,
8.62,,,-0.8155472
8.67,-0.9619728,,
8.7,,-0.8806565,
8.77,,,-0.8973207
8.81,-1.0438301,,
8.85,,-0.9624784,
8.92,,,-0.9790527
8.94,-1.1256813,,
9,,-1.0442808,
9.07,-1.2075256,,
9.07,,,-1.0607299
9.14,,-1.1260578,
9.19,-1.2893619,,
9.21,,,-1.1423411
9.28,,-1.2078024,
9.3,-1.3711874,,
9.34,,,-1.2238707
9.4,,-1.289514,
9.41,-1.4530039,,
9.47,,,-1.3053154
9.51,-1.5348068,,
9.52,,-1.3711868,
9.56,-1.6166357,,
9.58,,,-1.3866793
9.63,-1.6984459,,
9.63,,-1.4528179,
9.68,,,-1.4679481
9.72,-1.7802128,,
9.73,,-1.534401,
9.78,,,-1.5491231
9.8,-1.8619646,,
9.82,,-1.615947,
9.86,,,-1.6302118
9.88,-1.9437025,,
9.9,,-1.6974481,
9.94,,,-1.7112294
9.95,-2.0254284,,
9.98,,-1.7789174,
10.01,,,-1.7921988
10.01,-2.1071408,,
10.05,,-1.8603545,
10.07,,,-1.8730942
10.07,-2.1888467,,
10.11,,-1.9417553,
10.12,-2.2705625,,
10.13,,,-1.9538967
10.17,-2.3522588,,
10.17,,-2.0231261,
10.19,,,-2.0346838
10.21,-2.4339478,,
10.22,,-2.1044928,
10.23,,,-2.1154489
10.26,-2.5156238,,
10.27,,-2.1858522,
10.28,,,-2.1962172
10.29,-2.5973133,,
10.31,,-2.2671949,
10.32,,,-2.276917
10.32,-2.679005,,
10.35,,-2.3485041,
10.36,,,-2.3576059
10.36,-2.7606711,,
10.39,,-2.4298333,
10.39,,,-2.4383024
10.39,-2.8423413,,
10.42,-2.9240194,,
10.42,,,-2.5190265
10.42,,-2.5111414,
10.44,-3.005709,,
10.45,,,-2.5997309
10.45,,-2.5924313,
