Wavenumbers (cm-1),Glomalin,HA,BSA,,,Wavenumbers (cm-1),GOE,GOE+Glomalin,GOE+HA,GOE+BSA,,,Wavenumbers (cm-1),MnO2,MnO2+Glomalin,MnO2+HA,MnO2+BSA,,,Wavenumbers (cm-1),MMT,MMT+Glomalin,MMT+HA,MMT+BSA
2200.70099,-0.00106,-0.00061,-0.00072,,,2200.70099,-0.00037,-0.0001,0.00381,0.0005,,,2200.70099,0.0457,0.00567,0.00064,0.01133,,,2200.70099,-0.00221,-0.00187,-0.00195,-0.00195
2198.77224,-0.00106,-0.00069,-0.00054,,,2198.77224,-0.00037,-0.00023,0.00386,0.00045,,,2198.77224,0.04568,0.00564,0.0005,0.01137,,,2198.77224,-0.00221,-0.00192,-0.00197,-0.00195
2196.84349,-0.00094,-0.0005,-0.00039,,,2196.84349,-0.00046,-0.00025,0.00395,0.0006,,,2196.84349,0.04568,0.00566,0.00055,0.01131,,,2196.84349,-0.0022,-0.00197,-0.00212,-0.0021
2194.91475,-0.00082,-0.00024,-0.00039,,,2194.91475,-0.0005,-0.0002,0.00395,0.00072,,,2194.91475,0.04554,0.00577,0.00067,0.01128,,,2194.91475,-0.00223,-0.00193,-0.00223,-0.00231
2192.986,-0.00079,-0.00015,-0.00051,,,2192.986,-0.00047,-0.00014,0.00388,0.00069,,,2192.986,0.04533,0.00587,0.00078,0.0113,,,2192.986,-0.00229,-0.00183,-0.00223,-0.00253
2191.05725,-0.00074,-0.00015,-0.0006,,,2191.05725,-0.00063,-0.00012,0.0038,0.00069,,,2191.05725,0.04513,0.00577,0.00081,0.0112,,,2191.05725,-0.00236,-0.00169,-0.00213,-0.00261
2189.1285,-0.00069,-0.00023,-0.00062,,,2189.1285,-0.00094,-0.00014,0.00376,0.00072,,,2189.1285,0.04498,0.00545,0.00073,0.01101,,,2189.1285,-0.0024,-0.00151,-0.00199,-0.00246
2187.19975,-0.00069,-0.00036,-0.00054,,,2187.19975,-0.00107,-0.0002,0.0039,0.00069,,,2187.19975,0.04477,0.00529,0.00067,0.01097,,,2187.19975,-0.00234,-0.00146,-0.00181,-0.00212
2185.27101,-0.00078,-0.00046,-0.00036,,,2185.27101,-0.00102,-0.00025,0.00405,0.00064,,,2185.27101,0.04445,0.00549,0.00071,0.01097,,,2185.27101,-0.00228,-0.00165,-0.00162,-0.00176
2183.34226,-0.001,-0.00047,-0.00016,,,2183.34226,-0.001,-0.00025,0.00399,0.0007,,,2183.34226,0.04418,0.00576,0.00079,0.01085,,,2183.34226,-0.00232,-0.0018,-0.00161,-0.0016
2181.41351,-0.0012,-0.00037,-0.00002,,,2181.41351,-0.00103,-0.00023,0.00389,0.00093,,,2181.41351,0.04411,0.00576,0.00088,0.0108,,,2181.41351,-0.00231,-0.00167,-0.00174,-0.00161
2179.48476,-0.00124,-0.00033,-0.00004,,,2179.48476,-0.00105,-0.00024,0.00383,0.00105,,,2179.48476,0.04416,0.00561,0.00086,0.01085,,,2179.48476,-0.00213,-0.00147,-0.00189,-0.00174
2177.55602,-0.00117,-0.00039,-0.00016,,,2177.55602,-0.00094,-0.00027,0.00383,0.00097,,,2177.55602,0.04416,0.00554,0.00076,0.01086,,,2177.55602,-0.00198,-0.00148,-0.00203,-0.00197
2175.62727,-0.00112,-0.0003,-0.00025,,,2175.62727,-0.00067,-0.00032,0.00401,0.00094,,,2175.62727,0.04399,0.00556,0.00081,0.0109,,,2175.62727,-0.00199,-0.00166,-0.00217,-0.00219
2173.69852,-0.0011,-0.00015,-0.00037,,,2173.69852,-0.00047,-0.0003,0.00411,0.00094,,,2173.69852,0.04382,0.00566,0.00089,0.01088,,,2173.69852,-0.00204,-0.00176,-0.00223,-0.00227
2171.76977,-0.00111,-0.00018,-0.00063,,,2171.76977,-0.00056,-0.00024,0.004,0.00081,,,2171.76977,0.04384,0.00569,0.00082,0.01078,,,2171.76977,-0.002,-0.00165,-0.00221,-0.00217
2169.84103,-0.00113,-0.00024,-0.00081,,,2169.84103,-0.00082,-0.00023,0.00389,0.00068,,,2169.84103,0.04386,0.00561,0.00075,0.01071,,,2169.84103,-0.002,-0.0016,-0.00217,-0.00217
2167.91228,-0.00107,-0.0001,-0.00066,,,2167.91228,-0.00106,-0.00025,0.00384,0.00065,,,2167.91228,0.04374,0.00549,0.00078,0.01065,,,2167.91228,-0.00224,-0.00187,-0.00227,-0.00248
2165.98353,-0.00096,0.00007,-0.00042,,,2165.98353,-0.00108,-0.0002,0.00375,0.00062,,,2165.98353,0.04347,0.00537,0.00074,0.0105,,,2165.98353,-0.00255,-0.00227,-0.00252,-0.00285
2164.05478,-0.00093,0.00002,-0.00047,,,2164.05478,-0.00096,-0.00008,0.00358,0.00045,,,2164.05478,0.04296,0.00522,0.00053,0.01025,,,2164.05478,-0.00268,-0.0025,-0.00264,-0.00288
2162.12604,-0.00101,-0.00022,-0.00068,,,2162.12604,-0.00098,-0.00001,0.00342,0.00011,,,2162.12604,0.04215,0.00501,0.0003,0.01001,,,2162.12604,-0.00266,-0.00251,-0.00253,-0.00262
2160.19729,-0.00115,-0.00046,-0.00064,,,2160.19729,-0.00108,-0.00011,0.0035,-0.00005,,,2160.19729,0.04142,0.00483,0.00032,0.00995,,,2160.19729,-0.00248,-0.00236,-0.00239,-0.00249
2158.26854,-0.00125,-0.00046,-0.00046,,,2158.26854,-0.00092,-0.00038,0.00379,0.00021,,,2158.26854,0.04134,0.00499,0.00065,0.01021,,,2158.26854,-0.00216,-0.00208,-0.00209,-0.00246
2156.33979,-0.00125,-0.00023,-0.00045,,,2156.33979,-0.00051,-0.00066,0.00403,0.00054,,,2156.33979,0.04201,0.00527,0.00087,0.01071,,,2156.33979,-0.002,-0.00184,-0.00158,-0.00229
2154.41105,-0.00113,-0.00016,-0.00059,,,2154.41105,-0.00033,-0.00074,0.00403,0.00065,,,2154.41105,0.04298,0.00529,0.00078,0.01112,,,2154.41105,-0.00216,-0.00182,-0.00125,-0.00204
2152.4823,-0.00096,-0.00023,-0.00067,,,2152.4823,-0.00054,-0.00055,0.00392,0.00071,,,2152.4823,0.04384,0.00538,0.00068,0.01126,,,2152.4823,-0.00236,-0.00192,-0.00125,-0.00188
2150.55355,-0.00081,-0.00016,-0.00055,,,2150.55355,-0.00074,-0.00034,0.004,0.00085,,,2150.55355,0.04445,0.00576,0.00083,0.01131,,,2150.55355,-0.00229,-0.00187,-0.0014,-0.00185
2148.6248,-0.00076,-0.00015,-0.00042,,,2148.6248,-0.00068,-0.00034,0.00424,0.00095,,,2148.6248,0.04486,0.00599,0.001,0.01139,,,2148.6248,-0.00204,-0.00175,-0.00165,-0.00199
2146.69606,-0.0008,-0.00036,-0.00052,,,2146.69606,-0.00052,-0.00038,0.00438,0.00093,,,2146.69606,0.04528,0.00591,0.00102,0.0115,,,2146.69606,-0.00198,-0.00176,-0.00196,-0.00214
2144.76731,-0.00085,-0.00054,-0.00065,,,2144.76731,-0.00037,-0.00038,0.00441,0.0009,,,2144.76731,0.04587,0.00581,0.00104,0.01163,,,2144.76731,-0.00199,-0.00172,-0.00203,-0.00205
2142.83856,-0.00085,-0.00052,-0.00064,,,2142.83856,-0.00024,-0.00042,0.00434,0.00093,,,2142.83856,0.04654,0.00583,0.00104,0.01172,,,2142.83856,-0.00191,-0.00157,-0.00177,-0.00187
2140.90981,-0.00091,-0.00039,-0.00055,,,2140.90981,-0.0002,-0.00046,0.00423,0.00102,,,2140.90981,0.04714,0.0059,0.00097,0.01186,,,2140.90981,-0.00187,-0.00148,-0.00156,-0.00188
2138.98107,-0.00106,-0.00025,-0.00047,,,2138.98107,-0.00024,-0.00043,0.00423,0.00122,,,2138.98107,0.04764,0.00593,0.001,0.01215,,,2138.98107,-0.00185,-0.00149,-0.00159,-0.0019
2137.05232,-0.00118,-0.00022,-0.00048,,,2137.05232,-0.00029,-0.00043,0.00434,0.0014,,,2137.05232,0.04816,0.00579,0.0011,0.01245,,,2137.05232,-0.00177,-0.0015,-0.00168,-0.00176
2135.12357,-0.00117,-0.00038,-0.00054,,,2135.12357,-0.00026,-0.00058,0.00442,0.00144,,,2135.12357,0.04868,0.00557,0.00107,0.01259,,,2135.12357,-0.00166,-0.00138,-0.00166,-0.00165
2133.19482,-0.00106,-0.00054,-0.0005,,,2133.19482,-0.00016,-0.00078,0.00444,0.00141,,,2133.19482,0.04915,0.00551,0.00102,0.01266,,,2133.19482,-0.00147,-0.00106,-0.00156,-0.0017
2131.26608,-0.00095,-0.00053,-0.0004,,,2131.26608,-0.00013,-0.00083,0.0045,0.00137,,,2131.26608,0.0496,0.0056,0.00109,0.01282,,,2131.26608,-0.00133,-0.00084,-0.00154,-0.00164
2129.33733,-0.00088,-0.00044,-0.00039,,,2129.33733,-0.00016,-0.00078,0.00461,0.00137,,,2129.33733,0.04997,0.00575,0.00113,0.01307,,,2129.33733,-0.00148,-0.00097,-0.00159,-0.00144
2127.40858,-0.00086,-0.00041,-0.00041,,,2127.40858,-0.00018,-0.00083,0.00467,0.00139,,,2127.40858,0.05026,0.00597,0.00109,0.01324,,,2127.40858,-0.0017,-0.00124,-0.00159,-0.00142
2125.47983,-0.00083,-0.00045,-0.00037,,,2125.47983,-0.00015,-0.00096,0.00458,0.00135,,,2125.47983,0.05053,0.00613,0.00105,0.01321,,,2125.47983,-0.00176,-0.00134,-0.00151,-0.00155
2123.55108,-0.00079,-0.00049,-0.00035,,,2123.55108,-0.00009,-0.00105,0.00448,0.00134,,,2123.55108,0.05079,0.00613,0.00109,0.01308,,,2123.55108,-0.00173,-0.00134,-0.00148,-0.00166
2121.62234,-0.00083,-0.00047,-0.00036,,,2121.62234,-0.00001,-0.00101,0.00452,0.00141,,,2121.62234,0.05106,0.00607,0.00118,0.01303,,,2121.62234,-0.00176,-0.00135,-0.00158,-0.00173
