 Glomalin+GOE-1mM NaCl pH6.5,,,, Glomalin+GOE-10mM NaCl pH6.5,,,, Glomalin+GOE-100mM NaCl pH6.5,,,, HA+GOE-1mM NaCl pH6.5,,,, HA+GOE-10mM NaCl pH6.5,,,, HA+GOE-100mM NaCl pH6.5,,,, BSA+GOE-1mM NaCl pH6.5,,,, BSA+GOE-10mM NaCl pH6.5,,,, BSA+GOE-100mM NaCl pH6.5,,
,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy
1,1.689,208.38,,1,0.7548,86.38,,1,0.7811,61.15,,1,0.5579,19.86,,1,0.659,58.16,,1,0.7705,68.65,,1,0.3406,34.77,,1,0.4397,25.55,,1,0.3406,34.77
2,1.5,217.07,,2,0.9241,123.6,,2,0.7544,40.32,,2,0.7187,12.86,,2,0.6979,44.03,,2,0.7059,41,,2,0.3404,9.29,,2,0.4444,34.48,,2,0.3404,10.87
3,2.087,344.9,,3,0.9929,146.21,,3,0.5802,26.33,,3,0.6549,19.47,,3,0.3807,37.95,,3,0.7025,43.89,,3,0.4123,25.58,,3,0.2142,2.91,,3,0.1317,8.5
4,1.03,150.73,,4,1.028,121.52,,4,0.7612,49.6,,4,0.4673,18.54,,4,0.4963,109.27,,4,0.7524,51.71,,4,0.4943,28.82,,4,0.1953,5.84,,4,0.2266,4.83
5,2.733,285.83,,5,0.5505,91.57,,5,0.8301,84.03,,5,0.7171,18.54,,5,0.5612,9.4,,5,0.8056,45.56,,5,0.4652,28.38,,5,0.3721,3.95,,5,0.5775,6.17
6,0.8426,80.17,,6,0.519,53.82,,6,0.744,51.46,,6,0.5372,97.03,,6,0.6094,28.3,,6,0.6107,19.91,,6,0.3089,38.75,,6,0.1676,3.83,,6,0.5248,5.15
7,1.02,111.66,,7,0.9158,96.94,,7,0.5265,40.19,,7,0.5445,73.79,,7,0.8409,33.43,,7,0.5326,29.95,,7,0.1986,15.04,,7,0.3877,5.9,,7,0.5046,5.38
8,1.478,144.66,,8,0.5048,96.56,,8,0.3877,38.79,,8,0.4929,12.97,,8,0.4717,9.66,,8,0.766,44.92,,8,0.6703,27.81,,8,0.3314,4.34,,8,0.2422,1.88
9,0.6636,62.95,,9,0.8916,109.26,,9,0.6921,57.52,,9,0.3936,15.25,,9,0.339,7.62,,9,0.4318,3.92,,9,0.4469,15.75,,9,0.3912,6.92,,9,0.6703,27.34
10,1.061,123.53,,10,0.9173,110.29,,10,0.7209,69.51,,10,1.649,73.7,,10,0.5609,19.46,,10,0.2128,10.62,,10,0.2888,22.46,,10,0.3947,3.45,,10,0.2888,20.08
