,0h,24h,24h/0h (At/A0)
GOE,3.6090 ,2.2843 ,0.6329 
,3.5663 ,2.2162 ,0.6214 
,3.6013 ,2.1113 ,0.5863 
GOE+Polypeptide,3.7248 ,3.0223 ,0.8114 
,3.8076 ,3.0088 ,0.7902 
,3.8144 ,2.8151 ,0.7380 
MnO2,0.6916 ,0.3866 ,0.5590 
,0.6883 ,0.5385 ,0.7824 
,0.6869 ,0.4022 ,0.5855 
MnO2+Polypeptide,0.7073 ,0.4456 ,0.6300 
,0.7042 ,0.5571 ,0.7911 
,0.7001 ,0.4375 ,0.6249 
MMT,0.5336 ,0.4573 ,0.8570 
,0.5463 ,0.4569 ,0.8364 
,0.5518 ,0.4901 ,0.8882 
MMT+Polypeptide,0.6280 ,0.4697 ,0.7479 
,0.6136 ,0.5571 ,0.9079 
,0.6918 ,0.5559 ,0.8036 
