Acidic soils,MWD,Control,,,Glomalin,,,,,,,,,,,
,30d,1.73339306,1.53433739,1.634196588,2.23699284,1.895868616,1.928452711,,,,,,,,,
,60d,2.203064335,3.02770913,3.475316139,4.294539606,4.205580707,3.401697855,,,,,,,,,
,,,,,,,,,,,,,,,,
Acidic soils,GMD,Control,,,Glomalin,,,,,,,,,,,
,30d,1.09151922,1.125182351,1.306665311,1.593796313,1.419741338,1.434993595,,,,,,,,,
,60d,1.553781491,2.024858534,2.235009953,3.000059714,2.950202638,2.369728501,,,,,,,,,
,,,,,,,,,,,,,,,,
Acidic soils,Percentage of soil fraction,£¼0.053,,,0.053-0.25,,,0.25-2,,,2-5,,,£¾5,,
,Control,2.151,0.881,0.447,15.58,8.938,4.752,50.974,73.185,72.096,30.276,14.436,22.177,1.0146,2.5598,0.528
,Glomalin,0.082,0.535,0.408,4.296,3.418,4.199,63.748,71.582,68.854,21.931,18.74,21.076,9.9427,5.7249,5.4627
,Control,0.389,0.467,0.514,6.002,6.752,6.293,58.377,39.363,38.784,27.634,35.796,26.284,7.5993,17.622,28.125
,Glomalin,0.419,0.043,0.378,2.976,2.896,2.775,31.266,33.859,41.884,24.057,22.998,29.899,41.282,40.204,25.063
