Abs,0h,24h,24h/0h (At/A0)
GOE,1.8974 ,1.6448 ,0.8669 
,1.8899 ,1.6573 ,0.8769 
,1.8840 ,1.6681 ,0.8854 
GOE+Glomalin,3.0015 ,0.0449 ,0.0150 
,2.9975 ,0.0350 ,0.0117 
,2.9998 ,0.0627 ,0.0209 
GOE+Glomalin-mut,3.0015 ,1.528,0.5091 
,2.9975 ,1.5424,0.5146 
,2.9998 ,1.5416,0.5139 
GOE+Hsp60-mut,3.2576 ,0.5912 ,0.1815 
,3.2157 ,0.6463 ,0.2010 
,3.0078 ,0.5825,0.1937 
GOE+Hsp60,2.9184 ,3.5859 ,1.2287 
,2.9234 ,3.3683,1.1522 
,2.9215 ,3.41,1.1672 
MnO2,0.7530 ,0.4760 ,0.6321 
,0.7551 ,0.4756 ,0.6299 
,0.7237 ,0.4739 ,0.6548 
MnO2+Glomalin,0.7540 ,0.0305 ,0.0405 
,0.7237 ,0.0275 ,0.0380 
,0.7240 ,0.0488 ,0.0674 
MnO2+Glomalin-mut,0.3280 ,0.2149,0.6552 
,0.3217 ,0.2117,0.6581 
,0.3204 ,0.2056,0.6417 
MnO2+Hsp60-mut,0.8201 ,0.1021 ,0.1245 
,0.8353 ,0.2932,0.3510 
,1.0020 ,0.2262,0.2257 
MnO2+ Hsp60,0.8262 ,0.6432 ,0.7785 
,0.8242 ,0.6415 ,0.7783 
,0.8277 ,0.7942,0.9595 
MMT,0.2744 ,0.2439,0.8888 
,0.2755 ,0.2377,0.8628 
,0.2773 ,0.2345,0.8457 
MMT+Glomalin,0.4795 ,0.0147 ,0.0307 
,0.4819 ,0.0452 ,0.0938 
,0.4806 ,0.0273 ,0.0568 
MMT+Glomalin-mut,0.3790 ,0.1187,0.3132 
,0.3780 ,0.1115,0.2950 
,0.3775 ,0.1285,0.3404 
MMT+Hsp60-mut,0.2827 ,0.026,0.0920 
,0.2737 ,0.0182,0.0665 
,0.2720 ,0.0189,0.0695 
MMT+Hsp60,0.3931 ,0.3127,0.7955 
,0.3891 ,0.3071,0.7893 
,0.3898 ,0.3089,0.7925 
