 Glomalin+GOE pH6.5,,,, Glomalin-mut+GOE pH6.5,,,,Hsp60+GOE pH6.5,,,,Hsp60-mut+GOE pH6.5,,,,,, Glomalin+MnO2 pH6.5,,,, Glomalin-mut+MnO2 pH6.5,,,,Hsp60+MnO2 pH6.5,,,,Hsp60-mut+MnO2 pH6.5,,,,, Glomalin+MMT pH6.5,,,, Glomalin-mut+MMT pH6.5,,,,Hsp60+MMT pH6.5,,,,Hsp60-mut+MMT pH6.5,,
,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy,,,Adhesive force,Separation energy
1,1.328,117.53,,1,1.017,133.89,,1,0.7794,38.84,,1,0.4658,25.41 ,,,,1,0.8807,104.2,,1,0.7897,69.49,,1,0.5347,30.34,,1,0.814,39.5,,,1,0.5888,40.82 ,,1,0.4658,25.41 ,,1,0.8707,71.98,,1,0.4658,25.41 
2,1.698,189.93,,2,0.9932,73.28,,2,0.5498,40.82,,2,0.4485,34.65 ,,,,2,0.635,91.38,,2,0.8932,84.08,,2,0.4431,27.14,,2,0.6294,26.33,,,2,0.7831,135.91 ,,2,0.4485,30.08 ,,2,1.358,111.02,,2,0.4485,34.65 
3,2.075,264.33,,3,0.846,73.97,,3,0.6294,26.21,,3,0.3731,34.78 ,,,,3,0.7834,60.72,,3,0.6552,35.5,,3,0.5313,31.2,,3,0.7738,38.84,,,3,0.712,73.58 ,,3,0.3861,15.47 ,,3,0.3621,34.78,,3,0.3731,34.78 
4,1.766,197.39,,4,1.038,99.7,,4,0.7801,63.79,,4,0.4145,9.21 ,,,,4,1.039,112.94,,4,0.6682,51.51,,4,0.4264,23.81,,4,0.8932,84.89,,,4,0.846,79.81 ,,4,0.2103,17.74 ,,4,0.4145,8.94,,4,0.4145,9.21 
5,1.624,158.44,,5,1.358,99.9,,5,0.8069,82.95,,5,0.4009,38.08 ,,,,5,0.682,73.96,,5,0.8932,84.08,,5,0.5668,37.86,,5,0.6394,27.97,,,5,0.7585,45.05 ,,5,0.4009,38.33 ,,5,0.4658,27.99,,5,0.4009,38.08 
6,1.661,180.47,,6,0.9538,129.79,,6,0.9217,59.73,,6,0.4387,36.65 ,,,,6,0.7211,56.52,,6,0.6394,26.53,,6,0.5084,28.56,,6,0.8715,40.47,,,6,0.576,51.48 ,,6,0.4387,36.22 ,,6,0.5545,70.96,,6,0.4387,36.65 
7,1.983,216.45,,7,0.9119,147.38,,7,0.7394,45.78,,7,0.4658,25.28 ,,,,7,0.7357,55.2,,7,0.6682,51.51,,7,0.5613,29.52,,7,1.139,52.58,,,7,0.6497,59.36 ,,7,0.4658,25.28 ,,7,0.4707,28.1,,7,0.4658,25.28 
8,0.8167,114.89,,8,0.8988,97.59,,8,0.9368,43.6,,8,0.4009,38.33 ,,,,8,1.016,108.59,,8,0.6181,43.86,,8,0.5855,32.88,,8,0.9297,43.79,,,8,0.8932,84.08 ,,8,0.4009,38.33 ,,8,0.4009,38.33,,8,0.4009,38.33 
9,1.088,67.85,,9,0.9297,43.79,,9,0.4737,29.08,,9,0.2103,21.10 ,,,,9,0.9536,92.25,,9,0.814,40.16,,9,0.5336,29.72,,9,1.052,48.88,,,9,0.6953,39.47 ,,9,0.2103,14.71 ,,9,0.2131,16,,9,0.2103,21.10 
10,0.9593,115.5,,10,1.016,120.23,,10,0.1472,10.46,,10,0.8707,71.98 ,,,,10,1.617,156.89,,10,0.7457,69.49,,10,0.4789,27.31,,10,0.8707,71.98,,,10,0.8707,64.01 ,,10,0.9688,80.86 ,,10,0.9688,81.54,,10,0.8707,71.98 
11,1.679,190.83,,11,1.106,146.03,,11,0.5516,9.35,,11,0.4658,25.41 ,,,,11,0.682,73.96,,11,0.5874,54.95,,11,0.5331,29.07,,11,0.9932,73.24,,,11,0.8753,51.90 ,,11,0.4248,37.14 ,,11,0.7361,98.2,,11,0.4658,25.41 
12,1.394,145.89,,12,1.021,105.25,,12,1.017,134,,12,0.3509,34.78 ,,,,12,1.042,120.23,,12,0.9932,73.28,,12,0.425,24.44,,12,0.712,62.77,,,12,0.8314,83.58 ,,12,0.3731,29.19 ,,12,0.3564,34.78,,12,0.3509,34.78 
13,1.596,123.93,,13,0.8328,94.34,,13,0.8562,82.72,,13,0.6673,27.80 ,,,,13,0.6688,72.11,,13,0.712,62.28,,13,0.3549,15.98,,13,0.7831,135.91,,,13,0.6949,70.23 ,,13,0.6673,27.80 ,,13,0.6673,27.8,,13,0.6673,27.80 
14,1.815,188.22,,14,0.8562,83.24,,14,0.9346,137.89,,14,0.4926,18.91 ,,,,14,0.7834,60.72,,14,0.7831,135.91,,14,0.462,22.17,,14,0.6062,55.28,,,14,0.635,91.38 ,,14,0.4462,41.04 ,,14,0.4926,19.03,,14,0.4926,18.91 
15,1.811,242.84,,15,1.06,163.64,,15,0.7743,134.02,,15,0.4707,27.72 ,,,,15,0.8878,109.4,,15,0.5975,55.74,,15,0.3521,18.7,,15,0.6394,28.58,,,15,0.6682,51.51,,15,0.4707,28.10 ,,15,0.3761,31.28,,15,0.4707,27.72 
16,1.875,235.89,,16,1.016,109.57,,16,0.8832,105.57,,16,0.2771,14.23 ,,,,16,0.8336,79.33,,16,0.6119,26.53,,16,0.3473,17.46,,16,0.8069,81.61,,,16,0.8069,82.95,,16,0.3761,22.51 ,,16,0.4462,30.98,,16,0.2771,14.23 
17,1.803,281.11,,17,0.8832,106.223,,17,0.846,77.76,,17,0.5893,38.93 ,,,,17,0.6412,81.15,,17,0.8069,82.95,,17,0.4815,19.68,,17,0.8331,106.37,,,17,0.6598,57.5,,17,0.6142,42.80 ,,17,0.3655,17.52,,17,0.5893,38.93 
18,1.132,140.04,,18,0.846,78.17,,18,0.2064,14.61,,18,0.3517,12.58 ,,,,18,0.9119,142.68,,18,0.8331,106.37,,18,0.5546,21.66,,18,0.8314,85.36,,,18,0.6394,26.53,,18,0.4744,33.86 ,,18,0.4387,36.65,,18,0.3517,12.58 
19,1.248,176,,19,1.107,105.25,,19,0.8978,147.38,,19,0.11,3.60 ,,,,19,0.9169,141.96,,19,0.8314,75.93,,19,0.5242,21.13,,19,0.7008,58.35,,,19,0.8526,105.7,,19,0.2969,17.14 ,,19,0.4404,35.01,,19,0.11,3.60 
20,1.341,123.67,,20,0.8878,109.4,,20,0.9119,147.38,,20,0.3555,8.61 ,,,,20,0.8563,134.42,,20,0.7008,58.35,,20,0.2907,18.42,,20,0.5888,40.82,,,20,0.7338,10.05,,20,0.3555,7.16 ,,20,0.3555,8.48,,20,0.3555,8.61 
